FE_EJERCICIO;MU_CODINE;MU_NOMBRE;FE_FIESTAS
2025;03001;Atzúbia (L');28 de abril, lunes, San Vicente Ferrer, 5 de septiembre, viernes, Cristo del Milagro.
2024;03001;Atzúbia (L'); 8 de abril, lunes, San Vicente Ferrer, 3 de septiembre, martes, festividad patronal del Cristo del Milagro.
2023;03001;Atzúbia (L'); 17 de abril, lunes, San Vicente Ferrer, 5 de septiembre, martes, Cristo del Milagro.
2022;03001;Atzúbia (L');25 de abril, lunes, San Vicente Ferrer, 6 de septiembre, martes, Cristo del Milagro.
2021;03001;Atzúbia (L'); 12 de abril, lunes y 7 de septiembre, martes.
2020;03001;Atzúbia (L'); 20 de abril y 1 de septiembre
2019;03001;Atzúbia (L');29 de abril, lunes y 3 de septiembre, martes.
2018;03001;Atzúbia (L');9 de abril, lunes y 4 de septiembre, martes.
2026;03001;Atzúbia (L');13 de abril, San Vicente Ferrer, 4 de septiembre, Cristo del Milagro.
2026;03002;Agost;11 de marzo, Día de la Vella, 29 de junio, Festividad de San Pedro Apóstol, Patrón de Agost.
2018;03002;Agost;24 de enero, miércoles, Fiestas en Honor de la Santísima Virgen María de la Paz y 7 de marzo, miércoles, Día de la Vieja.
2019;03002;Agost;24 de enero, jueves, Fiestas en Honor de la Santísima Virgen María de la Paz y 27 de marzo, miércoles, Día de la Vieja.
2020;03002;Agost; 24 de enero, viernes, Fiestas en Honor de la Santísima Virgen María de la Paz y 18 de marzo, miércoles, Día de la Vella.
2021;03002;Agost; 10 de marzo, miércoles, día de la Vella, 5 de julio, lunes, fiestas en honor de San Pedro Apóstol.
2022;03002;Agost;24 de enero, lunes, Festividad de la Patrona de Agost, 23 de marzo, miércoles, Día de la Vella.
2023;03002;Agost; 24 de enero, martes, festividad de la Patrona de Agost, 15 de marzo, miércoles, Día de la Vella.
2024;03002;Agost; 24 de enero, miércoles, festividad de la patrona de Agost, la Santísima Virgen de la Paz, 6 de marzo, miércoles, Día de la Vella.
2025;03002;Agost;24 de enero, viernes, Festividad de la Patrona de Agost, la Santísima Virgen de la Paz, 26 de marzo, miércoles, Día de la Vella.
2025;03003;Agres;3 de marzo, lunes, 8 de septiembre, lunes.
2024;03003;Agres; 12 de febrero, lunes, 9 de septiembre, lunes.
2023;03003;Agres; 20 de febrero, lunes fiesta del Pino, 4 de septiembre, lunes, Día de Acción de Gracias.
2022;03003;Agres;28 de febrero, lunes fiesta del Pino, 5 de septiembre, lunes, Día de Acción de Gracias.
2021;03003;Agres; 7 de diciembre, martes, 6 de septiembre, lunes, día de Acción de Gracias.
2020;03003;Agres; 23 de febrero, lunes, Fiesta del Pino y 7 de septiembre, lunes, Día de Acción de Gracias.
2019;03003;Agres;4 de marzo, lunes, Día del Pino y 9 de septiembre, lunes, Día de Acción de Gracias.
2018;03003;Agres;12 de febrero, lunes, Fiesta del Pí y 3 de septiembre, lunes, fiesta de la Madre de Dios de Agres.
2026;03003;Agres;16 de febrero, 7 de septiembre.
2026;03004;Aigües;27 y 28 de agosto.
2018;03004;Aigües;30 y 31 de agosto, jueves y viernes, respectivamente.
2019;03004;Aigües;29 y 30 de agosto, jueves y viernes, respectivamente.
2020;03004;Aigües; 27 y 28 de agosto, jueves y viernes, respectivamente.
2021;03004;Aigües; 26 y 27 de agosto, jueves y viernes.
2022;03004;Aigües;25 y 26 de agosto, jueves y viernes, respectivamente.
2023;03004;Aigües; 24 y 25 de agosto, jueves y viernes respectivamente.
2024;03004;Aigües; 22 y 23 de agosto, jueves y viernes respectivamente.
2025;03004;Aigües;28 de agosto, jueves, 29 de agosto, viernes
2025;03005;Albatera;28 de abril, lunes, día de San Vicente, 25 de julio, viernes, día de Santiago Apóstol.
2024;03005;Albatera; 8 de abril, lunes, día de San Vicente, 25 de julio, jueves, Santiago Apóstol.
2023;03005;Albatera; 17 de abril, lunes, día de San Vicente Ferrer, 25 de julio, martes, Santiago Apostol.
2022;03005;Albatera;25 de abril, lunes, día de San Vicente Ferrer, 25 de julio, lunes Santiago Apostol.
2021;03005;Albatera; 12 de abril, lunes, día de San Vicente Ferrer, 7 de octubre, jueves, día de la Virgen del Rosario.
2020;03005;Albatera; 20 de abril, lunes, día de San Vicente y 25 de julio, sábado, día de Santiago.
2019;03005;Albatera;25 de julio, jueves, día de Santiago y 29 de abril, lunes, día de San Vicente.
2018;03005;Albatera;25 de julio, miércoles, día de Santiago Apóstol y 9 de abril, lunes, día de San Vicente.
2026;03005;Albatera;13 de abril, día de San Vicente, 25 de julio, día de Santiago Apóstol.
2026;03006;Alcalalí;25 y 26 de junio.
2018;03006;Alcalalí;25 de junio, lunes y 26 de diciembre, miércoles.
2019;03006;Alcalalí;25 de junio, martes, Festividad del Santísimo Cristo de la Salud y 26 de diciembre, jueves, segundo día de Navidad.
2020;03006;Alcalalí; 25 y 26 de junio.
2021;03006;Alcalalí; 25 de junio, viernes, 7 de diciembre, martes.
2022;03006;Alcalalí;31 de octubre, lunes , 26 de diciembre, lunes.
2023;03006;Alcalalí; 7 de diciembre, jueves, 26 de diciembre, martes.
2024;03006;Alcalalí; 25 de junio, martes, 26 de junio, miércoles.
2025;03006;Alcalalí;25 de junio, miércoles, 26 de junio, jueves.
2025;03007;Alcocer de Planes;2 de mayo, viernes, 10 de octubre viernes.
2024;03007;Alcocer de Planes; 18 de marzo, lunes, 2 de septiembre, lunes.
2023;03007;Alcocer de Planes; 13 de octubre, viernes, 7 de diciembre, jueves.
2022;03007;Alcocer de Planes;29 de agosto, lunes, 31 de octubre, lunes.
2021;03007;Alcocer de Planes; 11 de octubre, lunes, 7 de diciembre, martes.
2020;03007;Alcocer de Planes; 31 de agosto, lunes y 20 de marzo, viernes.
2019;03007;Alcocer de Planes;18 de marzo, lunes y 18 de abril, jueves.
2018;03007;Alcocer de Planes;30 de abril, lunes y 2 de noviembre, viernes
2026;03007;Alcocer de Planes;20 de mayo, 7 de diciembre.
2026;03008;Alcoleja;13 de abril, San Vicente Ferrer, 21 de agosto, fiestas patronales.
2018;03008;Alcoleja;9 de abril, lunes, Festividad de San Vicente y 2 de noviembre, viernes, Puente de Todos los Santos.
2019;03008;Alcoleja;29 de abril, lunes, San Vicente Ferrer y 23 de agosto, viernes, Fiesta Patronal.
2020;03008;Alcoleja; 20 de abril, lunes, San Vicente Ferrer y 21 de agosto, viernes, primer día de las fiestas patronales.
2021;03008;Alcoleja; 12 de abril, lunes, San Vicente Ferrer, 7 de diciembre, martes.
2022;03008;Alcoleja;25 de abril, lunes, San Vicente Ferrer, 19 de agosto, viernes, fiestas patronales.
2023;03008;Alcoleja; 17 de abril, lunes, San Vicente Ferrer, 18 de agosto, viernes, fiestas patronales.
2024;03008;Alcoleja; 8 de abril, lunes, San Vicente Ferrer, 8 de marzo, puente de San José.
2025;03008;Alcoleja;28 de abril, lunes, San Vicente Ferrer, 22 de agosto, viernes, fiestas patronales.
2025;03009;Alcoi/Alcoy;3 de mayo, sábado, 5 de mayo, lunes.
2024;03009;Alcoi/Alcoy; 20 de abril, sábado, 22 de abril, lunes.
2023;03009;Alcoi/Alcoy; 22 de abril, sábado, 24 de abril lunes.
2022;03009;Alcoi/Alcoy;22 de abril, viernes , 23 de abril sábado.
2021;03009;Alcoi/Alcoy; 11 de octubre, lunes, 19 de noviembre, viernes.
2020;03009;Alcoi/Alcoy; 25 de abril, sábado y 27 de abril, lunes.
2019;03009;Alcoi/Alcoy;4 de mayo, sábado y 6 de mayo, lunes.
2018;03009;Alcoi/Alcoy;23 y 24 de abril, lunes y martes.
2026;03009;Alcoi/Alcoy;25 de abril, 27 de abril.
2026;03010;Alfafara;6 de agosto, 7 de diciembre.
2018;03010;Alfafara;8 de octubre, lunes y 7 de diciembre, viernes.
2019;03010;Alfafara;18 de marzo, lunes y 26 de diciembre, jueves.
2020;03010;Alfafara; 18 de marzo, miércoles y 7 de diciembre, lunes.
2021;03010;Alfafara; 6 de agosto, viernes, día del Salvador, 7 de diciembre, martes.
2022;03010;Alfafara;6 de agosto, sábado, 9 de diciembre, viernes.
2023;03010;Alfafara; 13 de octubre, viernes, 7 de diciembre, jueves.
2024;03010;Alfafara; 6 de agosto, martes, 22 de noviembre, viernes.
2025;03010;Alfafara;6 de agosto, miércoles, 10 de octubre, viernes.
2025;03011;Alfàs del Pi (l');7 de noviembre, viernes, 10 de noviembre, lunes.
2024;03011;Alfàs del Pi (l'); 8 y 9 de noviembre, viernes y sábado, respectivamente.
2023;03011;Alfàs del Pi (l'); 9 y 10 de noviembre, jueves y viernes, respectivamente.
2022;03011;Alfàs del Pi (l');9 y 10 de noviembre, miércoles y jueves, respectivamente.
2021;03011;Alfàs del Pi (l'); 9 y 10 de noviembre, martes y miércoles.
2020;03011;Alfàs del Pi (l'); 9 y 10 de noviembre, lunes y martes, respectivamente.
2019;03011;Alfàs del Pi (l');8 y 9 de noviembre, viernes y sábado, respectivamente.
2018;03011;Alfàs del Pi (l');9 y 10 de noviembre, viernes y sábado, respectivamente.
2026;03011;Alfàs del Pi (l');9 de noviembre y 10 de noviembre.
2026;03012;Algorfa;13 de abril, San Vicente Ferrer, 16 de julio, Virgen del Carmen.
2018;03012;Algorfa;9 de abril, lunes, festividad de San Vicente Ferrer y 16 de julio, lunes, festividad de Nª Sª del Carmen.
2019;03012;Algorfa;29 de abril, lunes, festividad de San Vicente Ferrer y 16 de julio, martes, festividad de Nª Sª del Carmen.
2020;03012;Algorfa; 20 de abril, lunes, festividad de San Vicente Ferrer y 16 de julio, jueves, festividad de Nª Sª del Carmen.
